"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"1615","大山","47.05","9.93","+2.23","26Q1","0.94","4.81","3.96","3.21","5.31","-81","23","23.6","22.7","19","各項電線電纜之配件、絕緣材料、銅線之製造、加工及銷售。前各項有關機械及其配件之製造、加工及銷售。E601011電器承裝業。"
"1618","合機","38.5","8.46","-13.6","26Q1","1.57","4.21","3.71","2.01","4.42","+896","22.5","12.8","12.9","8.27","電線電纜、金屬之製造、加工、銷售電機、電氣器材及絕緣體材料之製造、加工、銷售前項各業務之進出口貿易、代理及經銷"
"1707","葡萄王","91.9","11.5","-2.68","26Q1","1.18","8.22","9.78","9.81","6.53","+11.6","23.5","15.6","18.5","18.8","藥品製劑、成藥及原料、醫療器材等之製造與買賣。雜項食品製造、冬蟲夏草食品之類似藥品劑型食品。飲料製造業、菌種業、生物技術服務業等。"
"1713","國化","48.4","10.8","+7.42","26Q1","1.36","3.87","10.31","2.32","6.4","-24.3","4","14.3","43.3","12.9","基本化學工業、化學原料批發(零售)業化妝品製(批)業、國際貿易業除許可業務外、得經營法令非限制或禁止之業務."
"1720","生達","64.3","11.9","+1.63","26Q1","1.3","5.19","4.93","4.67","3.11","-7.04","25","13.7","15.1","14.9","人用藥品健康食品"
"1730","花仙子","51.1","11","+2.11","26Q1","1.48","4.5","3.95","3.65","5.87","+27.5","19.1","14.8","13.9","13.4","家庭日用化學品工業類玻璃陶瓷餐具"
"1777","生泰","75.3","13","-4.46","26Q1","1.61","5.87","8.82","5.63","5.31","+22.1","17.9","10.2","16.1","11.1","西藥、動物用藥、化妝品及食品添加物之製造加工及販賣業務"
"1783","和康生","40.4","13.3","+6.7","26Q1","0.59","2.96","2.13","1.86","4.95","-231","18.3","18.2","13.9","12.5","生物高分子材料應用於生物醫材及醫美保養品的研發、製造及銷售"
"1817","凱撒衛","38.45","9.15","+1.08","26Q1","1.21","3.61","4.37","3.27","5.72","+26.9","18.9","11.5","14.8","11.7","各種衛浴設備、周邊製品之銷售"
"2006","東和鋼鐵","71.8","10.8","-1.3","26Q1","1.66","6.47","6.13","6.48","5.99","+20","37.4","14.2","14.2","15.8","鋼筋、扁鐵、角鐵、盤元、其他鋼鐵製品之製造加工銷售型鋼及合金鋼、工具鋼、高碳鋼、其他特殊鋼之製造加工銷售輪船解體、舊船買賣.....等"
"2013","中鋼構","40.9","12.7","-11.7","26Q1","0.66","3.19","2.7","2.68","5.87","-32.6","63.1","11.5","9.97","10.1","各類型鋼.鋼構架.機械體及水工機械之設計.製造.安裝及技術服務。金屬製品及加工用化學品之生產.進出口及買賣業務。各類環保工程(包含焚化爐、污染防治設備)之設計.製造.安裝。"
"2020","美亞","21.45","11.1","-4.19","26Q1","0.4","2.13","3.09","4.8","8.39","-255","54.5","12.5","19.1","29.4","鋼管(板)製造及銷售"
"2031","新光鋼","40.25","8.81","-2.42","26Q1","0.22","3.3","4.5","5.15","6.21","-274","60.9","8.87","12.1","15.6","各種鋼鐵整平裁剪加工買賣各種鋼構構件製作加工買賣各種鋼鐵代理報價買賣"
"2072","世紀風電","146","9.99","+63.3","26Q1","5.26","11.94","10.62","6.67","4.85","","23.9","10.6","11","11.9","離岸風電水下基礎製造、供應及專案管理"
"2109","華豐","14.75","12.2","-4.29","26Q1","0.41","1.16","1.61","1.51","3.39","-86.8","42","7.9","12","10.8","橡膠.塑膠製品之製造.加工及內外銷.有關上項之進出口業務.經營上項附帶業務."
"2204","中華","57.6","10.5","+10.1","26Q1","1.18","5.47","7.34","10.36","6.25","+23.8","24.9","7.71","10.5","15.7","汽車及相關零組件等之製造、銷售"
"2206","三陽工業","63.9","11.3","-5.33","26Q1","1.37","5.78","6.02","7.95","4.79","+1211","55.1","13.9","19","29.2","生產汽車、機車及其零件、引擎、模治具內外銷提供有關產品之技術服務及其諮詢顧問業務"
"2211","長榮鋼","95.5","11.7","+2.07","26Q1","1.07","8.6","6.12","8.8","6.81","","20.9","13","9.74","16.4","鋼結構製造貨櫃修理除許可業務外，得經營法令非禁止或限制之業務"
"2245","詠勝昌*","27.25","10.2","-4.56","25Q4","2.66","2.66","7.4","5.21","3.67","","37.7","15.2","19.8","15.6","汽車及其零件製造(限汽車零件),機車及其零件製造,汽機車零件配備批發業,模具製造業,模具批發業,電線及電纜製造業,電子零組件製造業,...等等"
"2248","華勝-KY","66","11.1","+47.9","26Q1","1.87","5.32","6.42","3.29","4.71","","44","17.1","24.5","15","汽車零件製造及銷售"
"2316","楠梓電","178.5","11.5","+31","26Q1","3.53","13.38","4.28","4.61","1.12","+1198","31.4","21.6","8.27","9.87","各類印刷電路板之製造,加工,組裝,銷售及服務."
"2357","華碩","712","12.7","+38.8","26Q1","13.19","59.99","42.27","21.44","5.9","-12.2","52.8","16.2","12.3","7.36","3C 資訊產品(含電腦系統產品、主機板及各類板卡及智慧型手機等手持裝置等)之設計、研發及銷售"
"2385","群光","105.5","11.9","-5.26","26Q1","2","9.05","12.43","10.35","6.82","-7.83","54.8","14.4","21.3","20.3","鍵盤製造及銷售數位影像產品之製造及銷售電源供應器產品之製造及銷售"
"2387","精元","38.95","13.8","-9.89","26Q1","0.49","3.47","7.81","6.5","10.3","+17.5","44.5","5.44","13.4","11.9","電腦及其附屬設備軟硬體之設計製造加工買賣各項鍵盤塑膠射出字鍵及模具設計製造內外銷系統、應用軟體及電腦通訊控制器之設計開發製造買賣"
"2433","互盛電","42.55","13.8","+1.5","26Q1","0.51","3.05","3.28","3.39","6.35","+7.77","47.7","10.9","11.1","11.1","事務機器電腦傳真機之買賣進出口修理及出租業務電子及機械零組件買賣業務有(無)線通信傳輸設備之買賣及工程承包、裝設"
"2451","創見","253","8.15","+422","26Q1","18.93","12.98","5.39","4.63","4.66","-13.7","29.6","26","11.8","10.2","電腦等數位產品之記憶體擴充卡電腦週邊產品"
"2471","資通","52.7","13.9","+8.28","26Q1","0.49","3.63","3.33","3.66","6.28","-40.7","38.1","18.4","17.1","19.3","應用套裝軟體之分析.設計.修改.安裝及維護等業務.各型電腦設備.網路設備及其相關軟體之買賣.有關前項之系統整合.網路規劃.資料庫管理及應用軟體設計等."
"2488","漢平","48.35","10.4","+18.9","26Q1","0.92","4.56","5.24","4.39","6.2","+31.5","25.7","13.2","16.1","14.6","電器製造業.照明設備製造業.資料儲存及處理設備製造業.無線通信機械器材製造業.電子零組件製造業國際貿易業.產品設計業.資訊軟體服務業"
"2496","卓越","61.1","9.56","+2.74","26Q1","1.65","6.12","7.02","5.48","4.91","+69.6","40.6","12.8","15.1","12.4","短期補習班及教育諮詢服務"
"2504","國產","31.05","9.44","-8.83","26Q1","0.7","3.3","3.9","3","8.37","-97.7","38.5","14.3","17.2","14.5","預拌混凝土不動產買賣.出租"
"2535","達欣工","88.1","10.6","+22.3","26Q1","2.88","6.5","5.21","3.77","5.22","-37.6","67.4","16.1","13.7","12.4","集合住宅商辦大樓等建築工程總承包晶圓廠、封測廠等高科技廠房工程總承包捷運、道路等交通工程統包及總承包"
"2546","根基","95.7","10.1","+21.3","26Q1","1.43","9.52","7.1","8.2","5.02","-24.4","61.7","21.9","17.2","22","土木、建築、水利及整地工程之承攬。各項基礎工程之承攬。橋樑、隧道工程之承攬。"
"2548","華固","101.5","7.9","+181","26Q1","2.28","10.15","4.58","12.95","7.88","+88.6","61.2","15","6.67","17.8","委託營造廠商興建商業大樓、國民住宅及廠辦之出租及出售室內裝潢業務及建材.機械買賣及進出口貿易業務委託營造廠興建一般工業用地之廠房倉庫出租等業務"
"2603","長榮","199.5","8.71","-2.43","26Q1","3.84","31.68","64.87","16.7","8.02","-481","35.3","11.8","26.8","7.59","G301011船舶運送業、G401011船務代理業G404011貨櫃集散站經營業、CD01070商港區船舶小修業ZZ99999除許可業務外，得經營法令非禁止或限制之業務"
"2618","長榮航","42.15","8","+16.4","26Q1","1.53","4.84","5.37","4.01","4.74","+593","63.2","19.7","24.5","21.7","國際航線之定期及不定期航空客貨運輸業務"
"2636","台驊控股","64.3","9.41","+1.58","26Q1","1.1","7.74","9.39","10.76","7.78","+47.3","56.9","10.5","13.9","17.2","一般投資業產業控股公司業"
"2643","捷迅","60.4","11.7","-14.2","26Q1","0.68","6.3","6.11","7.53","7.45","+104","30.5","11.1","11.2","13.8","整合型物流服務"
"2707","晶華","180","12.9","+5.11","26Q1","5.73","11.42","10.57","11.11","5.97","+1.09","65.4","31.6","27.3","31.6","經營國際觀光旅館;附中西餐廳咖啡廳夜總會酒吧會議廳健身房三溫暖商店等;停車場經營;旅館管理;休閒育樂產業設施諮詢顧問"
"2731","雄獅","146","8.53","+9.78","26Q1","4.17","17.49","9.81","15.21","8.77","+17.3","59.3","35.1","23.1","54.6","旅行業"
"2745","五福","103.5","11.3","+14.7","26Q1","3.44","10.01","9.07","7.87","7.25","+82.7","62.2","37.1","40.5","57.4","提供國.內外旅客團體旅遊商品或居間勞務銷售與服務"
"2751","王座","53.1","11.4","+32.5","26Q1","1.01","4.57","4.55","6.83","4.71","","60.8","19.5","22.3","55.1","經營連鎖餐飲品牌"
"2752","豆府","179","11.7","+11.8","26Q1","4.08","15.04","15.66","14.78","7.54","","54.5","29.1","32.4","34.4","餐飲業"
"2753","八方雲集","177","13.1","+7.25","26Q1","3.56","12.84","9.05","8.35","4.24","","52.7","20.7","16.3","15.8","餐飲銷售及連鎖加盟"
"2850","新產","148.5","10.6","+17","26Q1","3.99","12.28","10.47","9.22","4.9","+21.2","62.4","19.4","18","17.9","財產保險"
"2851","中再保","38.5","7.43","+204","26Q1","2.3","3.66","3.14","2.61","5.71","-12.1","60.2","13.8","12.6","11.6","H501031再保險業"
"2915","潤泰全","52.2","5.99","-23","26Q1","2.59","9.29","13","7.19","3.64","+6.94","9.9","9.39","13.5","8.4","天然棉．纖維．紡織品之製造加工染整印花營銷及進出口貿易業務農畜水產品．雜貨．衣著．建材．家具及裝飾品之批發及零售業務委託營造商興建國民住宅．商業大樓出租．出售業務"
"2916","滿心","40.5","10.1","+2.1","26Q1","1.26","3.96","4.19","4.61","8.89","+18.8","32.3","15.8","18.1","23","各種成衣針織品製造買賣業務代理國內外廠商有關產品經銷投標報價業務前項有關之進出口貿易業務"
"2937","集雅社","47.9","12.5","+11.6","26Q1","0.62","4.06","3.86","2.81","4.38","-2.76","66.6","16.4","15.5","12.2","各種電器製品、視聽音響組合、保養維修與其器材買賣業務進出口貿易業務、代理國內外廠商之報價投標及經銷業務醫療器材批發、文教育樂用品、電器、攝影器材零售業"
"2941","米斯特","31.45","11.5","-0.71","26Q1","0.89","2.35","3.31","4.16","7.25","","46.2","9.88","16","24.2","成衣服飾、鞋類及相關週邊配件商品"
"3010","華立","120.5","12.9","+17.7","26Q1","2.47","8.84","8.89","8.96","4.4","-11.6","55.4","10.3","11.3","11.9","資訊通訊用材料及設備、平面顯示器材料及設備。半導體製程用材料及設備、印刷電路板用材料、設備及零組件。太陽能、風力、及風電等綠能材料、設備及發電及其他"
"3046","建碁","54.7","13.3","+20.3","26Q1","1.2","4.01","3.83","3.14","5.48","+43.8","59.6","19.5","19.8","20.4","電腦系統及零組件生活型態用品及其他"
"3078","僑威","54.1","11","-46.2","26Q1","0.72","6.07","5.62","6.79","7.39","+22.5","37.4","19.2","18.8","25.3","資訊用電源供應器制造買賣/工業用電源制造買賣通訊用電源制造買賣/外接式電源外接盒/機殼/投影機等產品制造買賣"
"3118","進階","32.1","13.6","-7.81","26Q1","0.53","2.46","2","1.94","6.85","+2.03","28.4","14","11.7","11.5","生物醫學相關產品代理臨床前試驗服務"
"3130","一零四","204","13.5","+6.93","26Q1","3.57","14.7","14.14","13.61","7.21","+6.14","54.3","28.7","28.1","27.3","一般廣告服務業電子資訊就業服務"
"3135","凌航","161","10.1","+256","26Q1","10.76","6.33","2.37","1.3","2.55","","61.7","26.9","12.3","7.11","電子零組件製造業資訊軟體服務業國際貿易業務"
"3158","嘉實","83.3","12.4","+16.6","26Q1","1.5","7.27","7.32","5.91","7.8","+35.2","26.9","23.4","31.3","27.5","資訊費收入其他"
"3171","炎洲流通","63.7","12.9","+93.2","26Q1","1.44","4.3","2.12","2.08","7.28","+44.2","57.1","19","12.4","13.2","各類包裝材料，包含電子包材、綠色環保包材及包裝機台之買賣禮贈品之設計銷售服務"
"3217","優群","158","12.6","-4.15","26Q1","2.82","12.69","11.25","8.11","6.33","-27.7","22.1","24.5","22.7","17.9","各式連接器製造,設計及買賣業務儲存裝置設備及其週邊裝置製造,設計,維修及零件買賣業務.電腦視覺系統設計製造維修買賣業務."
"3218","大學光","138.5","12.2","+3.26","26Q1","3.31","12.31","12.57","12.34","5.6","-20.2","42.2","26.6","29.6","34.5","光學眼鏡產品買賣品牌授權、眼科儀器設備引進租賃、眼科藥品耗材銷售商圈評估及展店規劃裝潢、醫療院所顧問諮詢服務"
"3260","威剛","408","7.94","+183","26Q1","30.05","23.18","9.25","5.21","4.17","-106","67.9","35.1","17.1","10.6","電子零組件製造業電子材料批發業製造輸出業"
"3356","奇偶","60.3","5.95","+10.8","26Q1","2.21","6.21","7.2","3.2","5.8","-28","13.6","20.5","28.8","14.9","數位監控系統"
"3515","華擎","203.5","12.9","+4.42","26Q1","4.14","15.28","10.54","7.54","5.41","-52.4","50.1","18.6","16.4","11","個人電腦主機板個人電腦主機板之零配件"
"3570","大塚","167","12.1","+5.68","26Q1","4.12","13.95","12.98","11.62","5.81","-8.62","44.3","22.8","23.2","22.7","3D電腦工程繪圖CAD/CAM/CAE/CAID/PLM/M&E軟體產品代理銷售3D電腦工程繪圖軟體、VRAR傳媒娛樂軟體整合技術應用顧問軟體線上教育輔導、軟體人才培訓及電腦網路系統整合應用"
"3611","鼎翰","198","9.75","-0.53","26Q1","4.56","19.63","14.19","19.76","5.05","+14.1","56.6","17.8","12.7","18.2","條碼印表機、各式標籤紙、耗材及其零配件、企業行動電腦"
"3622","洋華","55.1","9.45","-3.08","26Q1","1.09","6.09","4.76","3.75","5.81","-45.6","14.9","12.8","11.1","9.92","觸控面板之製造與銷售高壓交連PE電力電纜附屬器材之製造與銷售"
"3633","云光","120.5","11.5","+11.8","25Q4","10.48","10.48","9.89","7.04","6.64","-15.4","56.6","22.3","22.9","17.9","中小尺寸背光模組"
"3679","新至陞","111","13.1","-10.6","26Q1","2.67","9.78","13.85","7.77","8.11","+16.6","49.6","12.3","18.4","10.7","精密塑膠模具之設計開發塑膠射出零組件"
"3684","榮昌","50.8","14","+5.79","26Q1","0.7","3.5","2.8","1.17","5.46","+58.7","45.8","15.1","13.2","5.68","高頻/車用連接線室內外天線工業用次系統產品等製造加工買賣業務一般進出口貿易業務(期貨除外)有關前項業務之代理經銷報價及投標業務"
"4105","東洋","78.4","12.1","+6.84","26Q1","1.78","6.27","5.83","4.54","5.74","+55.3","36.6","21.3","21.7","17.6","各種西藥動物用藥農藥環境用藥化粧品等之製造及銷售生物技術服務業各種醫療器材玻璃器具橡膠製品等製造銷售及食品什貨批發零售"
"4137","麗豐-KY","96.3","12.3","+8.61","26Q1","1.41","7.13","5.81","13.03","10.4","+54.4","43.2","10.9","8.84","20.4","美容產品與護理套組之研發、製造及銷售業務特許經營美容連鎖加盟店之經營與推廣業務除許可業務外，得經營法令非禁止或限制之業務"
"4305","世坤","41.2","10.7","-9.09","26Q1","1.13","3.83","3.97","2.91","7.52","+26.3","14.1","17.1","18.5","14.4","塑膠布製造反光片"
"4417","金洲","43.8","7.54","-7.35","26Q1","0.83","6.13","4.41","3.69","7.99","+45.9","28","15.1","11.4","9.97","各類漁網各類線索各類繩索"
