"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"5706","鳳凰","46.8","13.2","-5.91","26Q1","0.62","3.39","3.75","2.44","9.7","+58.6","41.5","15.3","18.6","13.3","接受客戶委託代辦國內外觀光旅遊安排食宿及相關服務等"
"5864","致和證","36.25","5.15","+6,647","26Q1","3.4","2.56","1.98","3.18","1.38","+187","34.2","15.1","10.7","17.6","經紀自營承銷"
"5878","台名","38.7","13.1","+0.88","26Q1","0.43","2.86","2.22","2.2","6.2","+9.54","38.1","13.3","10.2","10.2","人身保險經紀人財產保險經紀人"
"6026","福邦證","15","8.77","+214","26Q1","0.07","1.72","1.11","1.61","9.09","-66.2","61","11.5","7.67","12.1","在集中交易市場及營業處所受託買賣有價證券在集中交易市場及營業處所自行買賣有價證券承銷有價證券"
"6028","公勝保經","80","11.1","+26.8","26Q1","2.48","7.86","11.94","5.96","7.5","","59.1","26.9","42.6","26.1","人身保險經紀人財產保險經紀人"
"6121","新普","384.5","13","+3.63","26Q1","6.83","30.6","28.88","30.67","3.2","-8.06","44.4","16","15.2","16.6","電池製造業電池組裝配(筆記型電腦電池組、行動電話電池組)"
"6122","擎邦","53.1","11.3","-5.06","26Q1","1.03","4.78","4.41","5.25","6.4","-166","63.6","19.7","20","27.1","石化及化工工程捷運、發電廠、空調機電系統及公共工程其他"
"6170","統振","47.2","10.2","-0.95","26Q1","1.09","4.49","3.39","2.74","8.47","+40.6","63.6","21.3","16.9","15.2","電信預付卡代理行銷線上遊戲代理行銷遊戲及網路服務平台之研究開發與營運"
"6171","大城地產","23.3","5.82","-83.9","26Q1","0.08","3.82","5.73","2.48","8.58","+1118","47.5","15.5","26.1","13","住宅及大樓開發租售業。"
"6176","瑞儀","88.2","9.4","-5.97","26Q1","2.29","9.4","15.63","11.35","3.97","-17.5","50","11.8","20.1","15.5","CC01080電子零組件製造業CQ01010模具製造業CC01040照明設備製造業"
"6186","新潤","43.2","5.37","-34.6","26Q1","2.09","7.81","5.63","2.97","11.6","+98.1","63.7","33.8","27.5","14.2","住宅及大樓開發租售業、不動產買賣業、不動產租賃業。"
"6192","巨路","120.5","12.3","+5.74","26Q1","2.63","10.06","10.48","8.17","4.81","-9.06","42.6","13.3","14.9","12.5","程控儀器買賣及程控系統整合工程提供電子及通信元件之經銷代理"
"6203","海韻電","65.7","13","-28.9","26Q1","1.37","5.51","3.5","7.58","6.09","-43.8","15.5","15","9.62","21.6","交換式電源供應器(Switching Power Supplies,SPS)之生產與銷售"
"6248","沛波","18","13.4","-23.1","26Q1","0.28","1.53","3.07","4.02","6.52","+114","45.5","6.45","12.1","20.4","鋼材二次加工業、建材批發業、建材零售業"
"6279","胡連","120","12.8","+8.3","26Q1","1.6","10.74","12.79","9.24","4.58","+3.12","40.4","15.4","19.4","15.9","電子零件(端子)五金機械配件等製造加工及買賣(模具端子壓著機)塑膠件模具製造,電子零組件製造業(端子)及電子材料,模具批發零售"
