"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"4580","捷流閥業","82.3","13.6","+4.44","26Q1","1.76","5.03","8.86","7.68","4.86","","26.6","8.78","16","15","工業閥門的研發、設計、製造及銷售"
"4581","光隆精密-KY","50.1","12","+2.59","26Q1","0.88","4.73","5.02","6","5.99","","49.6","13.5","15.4","20.1","精密金屬加工"
"4584","君帆","39.9","13.3","-24.2","26Q1","0.91","3.43","3.6","3.28","5.01","","45.3","9.92","11.1","9.99","液壓元件氣壓元件液壓與電控系統整合、協作機械手自動化系統整合"
"4736","泰博","123.5","6.76","+0.96","26Q1","2.99","15.12","12.15","10.67","4.05","+4.09","23.8","14.9","12.8","10.9","醫療器材設備製造"
"4754","國碳科","36.85","13.8","-4.7","26Q1","0.95","2.87","2.63","2.25","6.24","+82.7","43.7","16.7","16.1","14.9","其他化學材料製造業,工業助劑製造業,其他化學製品製造業,耐火材料製造業消防安全設備安裝工程業,塗料,油漆,染料及顏料製造業,"
"4763","材料*-KY","49.5","9.56","-34","26Q1","1.13","6.1","84.36","62.52","6.16","+361","6.15","33.2","62.8","74.7","二醋酸纖維絲束研發、製造與銷售"
"4907","富宇","40.8","11.1","+263","26Q1","2.76","1.23","6","2.24","3.68","+281","67.3","5.78","31.4","13.8","委託營造廠商興建商業大樓及國民住宅出租、出售業務。有關建材、裝潢材料及建設機械之買賣及進出口業務等"
"4915","致伸","66.9","12.4","+9.86","26Q1","1.3","5.71","5.61","5.5","6.83","+14.8","58.7","13","14","14.1","電子零組件之設計開發、製造與銷售非電腦週邊產品之設計開發、製造與銷售"
"4933","友輝","67.1","12.5","-4.2","26Q1","1.9","5.77","7.07","4.22","4.32","-26.2","25.8","12.7","16.2","10.2","LCD背光模組零組件-聚光片"
"4953","緯軟","124.5","13.4","+29.7","26Q1","2.32","8.45","6.25","8.49","4.13","-87.3","34.8","15.5","12.4","18.6","軟體外包服務"
"4967","十銓","256","6.55","+77.3","26Q1","27","13.06","6.8","3.38","3.91","-376","67.6","25.1","17","11.1","電子零組件製造業電腦及其週邊設備之買賣業務一般電子材料,電子產品之買賣業務"
"5212","凌網","47.45","9.8","+9.87","26Q1","0.54","4.74","3.84","3.36","8.85","+55.3","60.6","26.1","22.9","22.8","專案軟體服務圖書館軟體及電子書銷售服務金融軟體服務"
"5225","東科-KY","73.8","8","-8.58","26Q1","1.54","10.26","12.68","8.02","9.77","-3.54","53.9","22.4","29.5","20.9","揚聲器系統及耳機之製造及銷售高階/智慧型揚聲器及影音電子家庭娛樂系統之設計、製造及銷售系統架構/新產品概念/創新產品及聲學技術之研發"
