"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","資產負債率-最新年度報告","股息率TTM","平均股息率-近3年"
"7071","Amvis控股","359","12.223","9.57","服務業","56.96%","1.11%","0.33%"
"7081","Koyou Rentia","1,316","7.687","7.69","服務業","38.50%","2.36%","2.63%"
"7367","CELM","340","12.835","12.84","服務業","55.83%","4.41%","3.86%"
"7377","DN控股","1,772","10.929","7.52","服務業","39.35%","4.51%","4.07%"
"8769","Advantage Risk Management","505","11.548","11.55","服務業","48.96%","3.37%","3.00%"
"9220","FB介護服務","1,209","6.755","7.95","服務業","57.88%","2.73%","2.91%"
"9332","Nisso控股","586","10.377","10.38","服務業","45.72%","4.27%","3.16%"
"9619","Ichinen租賃","2,229","6.890","6.89","服務業","65.91%","3.59%","3.72%"
"9639","三協Frontier","2,295","9.169","9.17","服務業","25.04%","3.70%","3.98%"
"9647","協和工程顧問","7,030","6.729","6.73","服務業","44.98%","0.43%","0.62%"
"9672","東京都競馬","4,830","12.315","12.31","服務業","24.55%","2.44%","2.16%"
"9731","白洋舍","3,455","6.139","6.14","服務業","63.49%","2.03%","2.21%"
"9765","Ohba","1,119","13.369","13.90","服務業","26.44%","3.84%","3.67%"
"5445","東京鐵工","1,862","5.900","5.90","鋼鐵","21.18%","5.37%","5.57%"
"5699","IBOKIN","1,468","8.064","8.06","鋼鐵","36.49%","2.18%","2.25%"
"9110","NS聯合海運","6,670","6.523","6.52","海運","36.83%","4.65%","5.08%"
"9119","飯野海運","1,441","9.906","9.91","海運","54.34%","4.09%","3.74%"
"4189","KH Neochem","2,970","13.614","13.61","化學品","44.18%","3.54%","4.21%"
"4220","理研科技","1,751","11.008","11.39","化學品","34.14%","3.08%","3.46%"
"4932","Almado","690","12.306","12.31","化學品","59.92%","6.09%","5.23%"
"4979","OAT Agrio","2,480","10.764","10.76","化學品","46.52%","2.42%","2.91%"
"9385","SHOEI Corporation","725","6.563","6.56","化學品","53.35%","4.83%","3.91%"
"1418","Interlife控股","529","9.875","9.87","建造業","49.55%","5.67%","5.01%"
"1429","日本Aqua","738","12.420","12.42","建造業","54.93%","4.74%","4.02%"
"1430","First-corporation","941","8.925","6.74","建造業","60.78%","4.46%","4.40%"
"1434","JESCO控股","1,879","8.542","12.10","建造業","57.15%","1.60%","3.13%"
"1450","Tanaken","1,393","8.067","8.07","建造業","23.43%","3.95%","3.91%"
"1780","Yamaura","1,454","8.695","8.70","建造業","27.29%","2.06%","1.55%"
"1787","Nakabohtec防腐","5,500","11.369","11.37","建造業","23.03%","6.09%","5.39%"
"1847","ICHIKEN","2,657","6.041","6.02","建造業","46.24%","4.33%","4.55%"
"1852","淺沼建築","866","13.481","13.49","建造業","57.52%","5.20%","5.19%"
"1871","PS Construction","2,244","11.258","11.26","建造業","54.04%","5.35%","4.50%"
"1879","新日本建設","2,128","8.175","8.18","建造業","27.39%","3.15%","3.36%"
"1885","東亞建設工業","2,074","8.349","8.35","建造業","61.39%","3.71%","3.89%"
"1911","住友林業","1,370.0","7.870","7.87","建造業","55.80%","3.87%","3.01%"
"1925","大和房屋工業","4,514.0","7.969","7.97","建造業","64.07%","3.66%","3.18%"
"1928","積水房屋","3,473.0","8.755","9.70","建造業","56.29%","4.15%","3.88%"
"1975","旭化學工業","4,455","12.440","12.44","建造業","49.50%","3.23%","3.06%"
"1980","Dai-Dan建築工程","2,814","13.573","13.57","建造業","42.74%","2.96%","3.53%"
"7745","A&D Holon控股","2,908","13.455","13.45","精密儀器","34.14%","1.89%","1.86%"
"7775","大研醫器","420","13.076","13.08","精密儀器","31.58%","4.76%","4.31%"
