"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","資產負債率-最新年度報告","股息率TTM","平均股息率-近3年"
"PHM","普得集團","133.670","12.927","12.02","住宅施工","28.05%","0.72%","0.74%"
"TOL","托爾兄弟","157.140","11.941","11.65","住宅施工","42.93%","0.64%","0.86%"
"AB","聯博控股","36.310","11.276","12.23","資產管理","0.13%","9.31%","9.72%"
"APAM","Artisan Partners Asset Management","35.410","8.875","8.74","資產管理","50.39%","9.32%","7.35%"
"FDUS","Fidus Investment","19.330","8.553","8.33","資產管理","47.99%","11.02%","14.13%"
"FHI","Federated Hermes","56.600","10.990","11.03","資產管理","43.32%","2.40%","3.09%"
"GLAD","格拉德斯通資本","19.540","10.449","7.66","資產管理","46.89%","9.67%","10.59%"
"HLNE","Hamilton Lane","79.760","13.473","13.47","資產管理","36.37%","2.71%","1.74%"
"HTGC","海格投資","15.960","8.916","8.63","資產管理","51.66%","11.78%","12.04%"
"MAIN","Main Street Capital","51.960","10.939","9.41","資產管理","47.31%","8.22%","8.56%"
"SOR","Source Capital","46.580","6.434","6.43","資產管理","1.32%","5.37%","6.39%"
"TRIN","Trinity Capital","17.790","9.413","9.08","資產管理","55.97%","12.42%","17.81%"
"TROW","普信集團","118.550","12.720","12.83","資產管理","15.96%","4.31%","4.95%"
"OTTR","奧特泰爾","91.390","13.722","13.95","綜合企業","53.04%","2.36%","2.46%"
"EC","哥倫比亞國家石油","14.700","9.892","9.66","綜合石油天然氣","62.18%","3.97%","20.97%"
"PBR","巴西石油公司","16.110","5.227","5.30","綜合石油天然氣","65.87%","8.09%","20.07%"
"TTE","道達爾","76.690","11.378","13.27","綜合石油天然氣","59.62%","5.17%","6.23%"
