"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","股息率TTM","平均股息率-近3年","經營利潤率-近3次平均年度報告"
"BWMX","Betterware de Mexico","15.540","7.809","9.26","專業零售","7.99%","10.72%","15.66%"
"GLPI","Gaming & Leisure Properties","42.240","12.351","14.32","專業REITs","7.48%","7.03%","74.50%"
"EBF","恩尼斯","20.965","12.554","12.63","專業商務服務","4.77%","5.42%","13.34%"
"ZTS","Zoetis","75.380","12.297","12.52","專業與通用藥品製造商","2.73%","1.16%","36.85%"
"DHI","霍頓房屋","143.975","13.725","12.44","住宅施工","1.22%","0.85%","15.42%"
"KBH","KB Home","52.775","12.841","8.58","住宅施工","1.89%","1.38%","10.45%"
"PHM","普得集團","124.685","12.736","11.21","住宅施工","0.80%","0.74%","20.01%"
"TOL","托爾兄弟","141.780","11.425","10.51","住宅施工","0.72%","0.86%","17.25%"
"VIRT","Virtu金融","64.395","10.697","12.55","資本市場","1.49%","3.59%","46.06%"
"APAM","Artisan Partners Asset Management","40.455","9.701","9.99","資產管理","8.38%","7.49%","32.50%"
"FHI","Federated Hermes","61.200","11.375","11.93","資產管理","2.29%","3.11%","27.08%"
"TROW","普信集團","109.885","11.033","11.89","資產管理","4.68%","4.95%","33.44%"
"VRTS","維德思投資","156.000","8.894","7.81","資產管理","6.06%","4.35%","18.88%"
"BAH","博思艾倫諮詢公司","73.255","11.500","10.62","諮詢服務","3.11%","2.10%","10.05%"
"HON","霍尼韋爾","206.735","8.022","14.04","綜合企業","4.55%","4.10%","18.42%"
"EC","哥倫比亞國家石油","17.395","11.003","10.75","綜合石油天然氣","3.36%","20.97%","27.13%"
"PBR","巴西石油公司","20.775","5.246","6.83","綜合石油天然氣","5.54%","21.09%","32.59%"
